Scheduled_dt,avg_delay,median_delay,std_delay,n_obs
2017-06-17 21:00:00,10.875683060109289,8.883333333333333,10.63349206332698,61
2017-06-17 21:30:00,8.5625,5.833333333333333,10.637243050542375,48
2017-06-17 22:00:00,11.347008547008548,6.583333333333333,12.386743569409639,39
2017-06-17 22:30:00,15.996825396825397,10.258333333333333,15.422571375528427,42
2017-06-17 23:00:00,10.293229166666666,11.808333333333334,7.969301381233383,32
2017-06-17 23:30:00,8.272380952380953,3.783333333333333,9.759851686816052,35
2017-06-18 00:00:00,5.847126436781609,4.433333333333334,9.479699560076565,29
2017-06-18 00:30:00,5.378571428571428,4.866666666666667,5.6515518411154995,28
2017-06-18 01:00:00,7.096666666666667,7.15,1.8592635937680029,5
2017-06-18 01:30:00,15.292592592592591,7.966666666666667,15.383615723101293,9
2017-06-18 02:00:00,7.541666666666667,4.25,10.01807097358299,8
2017-06-18 02:30:00,13.364814814814814,6.566666666666666,11.957062779321765,9
2017-06-18 03:00:00,7.890000000000001,3.041666666666667,12.428919383318771,10
2017-06-18 03:30:00,6.176666666666667,2.1333333333333333,8.588440408012115,10
2017-06-18 04:00:00,6.246666666666667,3.158333333333333,8.10857570723737,10
2017-06-18 04:30:00,5.125925925925926,5.283333333333333,3.4339917563552844,9
2017-06-18 05:00:00,4.618055555555555,1.5083333333333333,5.720106564369593,12
2017-06-18 05:30:00,-1.1333333333333335,1.3250000000000002,7.582926729026054,16
2017-06-18 06:00:00,2.7401960784313726,1.8166666666666667,4.707131331906621,17
2017-06-18 06:30:00,3.503030303030303,2.1916666666666664,4.117091220199051,22
2017-06-18 07:00:00,1.761111111111111,1.35,2.732540830085387,24
2017-06-18 07:30:00,2.6279761904761902,1.4166666666666665,3.34318929804157,28
2017-06-18 08:00:00,2.3728070175438596,2.4,4.670105587884653,38
2017-06-18 08:30:00,2.0701754385964914,1.75,4.847196889554536,38
2017-06-18 09:00:00,2.622916666666667,2.2416666666666667,5.260725968312284,40
2017-06-18 09:30:00,3.604385964912281,1.9,7.363841825405234,38
2017-06-18 10:00:00,10.679166666666667,6.175,14.669345740603577,44
2017-06-18 10:30:00,9.271317829457365,7.5,11.033861017917385,43
2017-06-18 11:00:00,12.352702702702704,8.416666666666666,12.81074100452761,37
2017-06-18 11:30:00,14.935815602836879,12.85,12.997928569046355,47
2017-06-18 12:00:00,20.98576388888889,17.916666666666664,17.079900187665228,48
2017-06-18 12:30:00,20.149056603773587,17.633333333333333,18.786962830204526,53
2017-06-18 13:00:00,28.16494252873563,28.625,20.191027934728,58
2017-06-18 13:30:00,35.38553459119497,41.233333333333334,20.54630169212147,53
2017-06-18 14:00:00,26.736742424242426,28.633333333333333,20.433203579499203,44
2017-06-18 14:30:00,34.54591194968553,40.65,22.83988112780513,53
2017-06-18 15:00:00,33.97456140350877,40.96666666666667,27.80792327106216,38
2017-06-18 15:30:00,23.647222222222222,12.666666666666666,23.916906396064473,30
2017-06-18 16:00:00,21.181818181818183,7.958333333333333,27.738232558231704,44
2017-06-18 16:30:00,19.90905797101449,6.8,23.87684236483298,46
2017-06-18 17:00:00,19.220666666666666,8.383333333333333,23.2301971257973,50
2017-06-18 17:30:00,16.5609756097561,4.433333333333334,23.752601205434118,41
2017-06-18 18:00:00,19.210162601626017,7.083333333333333,24.997940436844207,41
2017-06-18 18:30:00,18.35703703703704,6.816666666666666,22.98890171653347,45
2017-06-18 19:00:00,30.684090909090912,37.88333333333333,27.27504253249051,44
2017-06-18 19:30:00,36.035666666666664,44.425,32.296931962221045,50
2017-06-18 20:00:00,22.148936170212767,19.783333333333335,21.313454110921327,47
2017-06-18 20:30:00,22.661363636363635,19.725,21.63875506072084,44
